day_of_week,pickup_hour,total_trips,avg_speed_mph,avg_congestion_surcharge,avg_total_amount
Thursday,18,75588,9.88,2.37,18.63
Friday,18,74302,10.06,2.36,18.52
Friday,19,70353,10.63,2.37,18.26
Thursday,19,68175,11.13,2.36,18.59
Wednesday,18,67690,10.22,2.37,18.38
Friday,17,66326,9.6,2.34,19.16
Thursday,17,66025,9.5,2.36,18.99
Thursday,21,65347,12.87,2.36,18.82
Thursday,20,62741,12.33,2.36,18.71
Wednesday,19,61839,11.57,2.37,18.29
Wednesday,17,60946,10.05,2.35,18.79
Thursday,14,59639,9.82,2.35,18.75
Thursday,15,59614,9.57,2.34,18.85
Friday,15,59431,9.57,2.33,18.52
Tuesday,18,59086,10.14,2.37,17.96
Friday,21,58934,11.81,2.36,18.32
Thursday,22,58821,13.56,2.36,19.19
Friday,22,58807,12.07,2.36,18.59
Wednesday,21,58581,13.34,2.37,18.46
Friday,14,58417,9.93,2.34,18.75
Friday,20,58113,11.63,2.35,18.42
Thursday,8,57532,9.61,2.35,17.05
Wednesday,20,57271,12.99,2.36,18.65
Friday,16,56684,9.98,2.33,20.22
Wednesday,15,56628,10.35,2.34,18.39
Friday,8,56197,9.83,2.34,17.07
Thursday,16,56034,9.88,2.34,20.21
Thursday,13,54568,10.36,2.35,18.49
Wednesday,14,54269,10.58,2.34,18.48
Thursday,9,54162,9.34,2.37,17.55
Friday,13,53864,10.6,2.34,18.19
Thursday,12,53665,9.95,2.37,17.78
Friday,12,53014,10.28,2.36,17.57
Friday,9,52865,9.43,2.36,17.51
Wednesday,16,52472,10.66,2.34,19.47
Friday,23,51974,12.94,2.35,18.6
Tuesday,19,51958,11.75,2.38,17.95
Tuesday,17,51516,9.59,2.37,18.44
Wednesday,8,50886,9.93,2.35,17.18
Monday,18,50618,11.35,2.35,18.62
Wednesday,13,50446,10.95,2.35,18.14
Wednesday,12,50396,10.65,2.37,17.55
Friday,11,49987,9.89,2.37,17.62
Thursday,11,49971,9.57,2.38,17.54
Thursday,10,49295,9.59,2.37,17.68
Tuesday,20,48998,13.07,2.38,18.21
Friday,10,48559,9.78,2.37,17.76
Wednesday,22,48467,14.08,2.36,18.99
Tuesday,21,47797,13.56,2.38,18.35
Tuesday,15,47743,9.83,2.35,18.06
Wednesday,9,47633,9.7,2.37,17.64
Tuesday,8,47576,9.41,2.36,17.02
Saturday,19,47522,10.45,2.37,17.01
