pu_zone,do_zone,trip_count,avg_speed_mph,avg_duration_mins,avg_distance_miles,congestion_rank
Midtown East,Times Sq/Theatre District,2686,5.72,11.22,0.98,1
Midtown Center,Times Sq/Theatre District,3129,5.74,9.26,0.79,2
UN/Turtle Bay South,Times Sq/Theatre District,686,5.84,12.96,1.17,3
Penn Station/Madison Sq West,Midtown South,1088,5.9,8.53,0.76,4
Kips Bay,Penn Station/Madison Sq West,741,6.19,11.27,1.11,5
Midtown East,Midtown Center,1936,6.22,7.43,0.7,6
Sutton Place/Turtle Bay North,Times Sq/Theatre District,741,6.22,13.0,1.26,6
Penn Station/Madison Sq West,Penn Station/Madison Sq West,430,6.23,7.28,0.72,7
Times Sq/Theatre District,Times Sq/Theatre District,2132,6.25,6.89,0.64,8
UN/Turtle Bay South,Garment District,388,6.28,12.87,1.25,9
